task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
152	0e/f299b6	133861	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:GETPILEUPSUMMARIES (S4)	COMPLETED	0	2025-12-09 00:26:52.814	10.2s	9.7s	290.4%	770.4 MB	14.1 GB	341.2 MB	695.4 KB
148	72/92ee72	136478	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:GETPILEUPSUMMARIES (S4)	COMPLETED	0	2025-12-09 00:27:03.010	9.4s	8.9s	244.3%	827.8 MB	14.1 GB	291.1 MB	694.7 KB
164	fb/ed5661	136437	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:GETPILEUPSUMMARIES (S4)	COMPLETED	0	2025-12-09 00:27:02.919	9.5s	9.1s	250.5%	487.8 MB	14 GB	274.9 MB	694.7 KB
147	86/734ae0	138897	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:GETPILEUPSUMMARIES (S4)	COMPLETED	0	2025-12-09 00:27:12.440	10.3s	9.9s	215.9%	799.5 MB	13.8 GB	334.3 MB	694.8 KB
150	21/f622f4	138872	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:GETPILEUPSUMMARIES (S4)	COMPLETED	0	2025-12-09 00:27:12.380	11.1s	10.7s	202.5%	622.6 MB	13.8 GB	284.6 MB	695.2 KB
174	be/5f4f7e	141502	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:GETPILEUPSUMMARIES (S4)	COMPLETED	0	2025-12-09 00:27:22.746	9.2s	8.6s	247.3%	445.9 MB	14 GB	354.2 MB	694.6 KB
153	e6/2a7113	141875	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:GETPILEUPSUMMARIES (S4)	COMPLETED	0	2025-12-09 00:27:23.514	8.4s	8s	278.2%	525.9 MB	14 GB	285.5 MB	694.7 KB
169	2e/049493	144746	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:GETPILEUPSUMMARIES (S4)	COMPLETED	0	2025-12-09 00:27:31.972	9.5s	9.1s	264.3%	645.1 MB	14 GB	558.9 MB	694.8 KB
168	bf/5b6ddb	144699	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:GETPILEUPSUMMARIES (S4)	COMPLETED	0	2025-12-09 00:27:31.906	9.9s	9.4s	251.6%	1000.1 MB	14.1 GB	439.8 MB	695 KB
165	2e/a18171	148771	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:MUTECT2 (S4)	COMPLETED	0	2025-12-09 00:27:41.831	51.2s	50.4s	143.9%	1.9 GB	14.2 GB	711.5 MB	1.2 MB
157	6d/572f11	148301	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:MUTECT2 (S4)	COMPLETED	0	2025-12-09 00:27:41.498	53.6s	53.2s	150.0%	2 GB	14.2 GB	432.6 MB	1.2 MB
149	66/eb3baa	157867	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:MUTECT2 (S4)	COMPLETED	0	2025-12-09 00:28:33.048	50.8s	50.1s	180.6%	1.5 GB	14.4 GB	707.5 MB	1.2 MB
143	77/49629c	158366	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:MUTECT2 (S4)	COMPLETED	0	2025-12-09 00:28:35.082	1m 10s	1m 10s	134.5%	1.3 GB	14.2 GB	501.8 MB	1.2 MB
154	aa/6a2bbb	165369	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:MUTECT2 (S4)	COMPLETED	0	2025-12-09 00:29:23.822	50.6s	50s	188.0%	2 GB	14.3 GB	687.3 MB	1.2 MB
156	3d/221780	168772	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:MUTECT2 (S4)	COMPLETED	0	2025-12-09 00:29:45.519	52.1s	51.7s	166.0%	1.6 GB	14.4 GB	615.4 MB	1.2 MB
144	c0/c54d3f	174939	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:MUTECT2 (S4)	COMPLETED	0	2025-12-09 00:30:14.450	1m	59.8s	164.2%	1.8 GB	14.5 GB	492.6 MB	1.2 MB
159	e7/6139ae	178683	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:MUTECT2 (S4)	COMPLETED	0	2025-12-09 00:30:37.648	47.2s	46.7s	176.3%	1.8 GB	14.2 GB	708.5 MB	1.2 MB
151	44/4357b4	181606	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:MUTECT2 (S4)	COMPLETED	0	2025-12-09 00:31:14.682	57.4s	56.9s	177.2%	2.3 GB	14.4 GB	527.9 MB	1.2 MB
145	c1/b7ebaa	182700	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:MUTECT2 (S4)	COMPLETED	0	2025-12-09 00:31:24.902	59s	58.4s	200.3%	2 GB	14.4 GB	532 MB	1.3 MB
166	90/1a09a2	185150	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:MUTECT2 (S4)	COMPLETED	0	2025-12-09 00:32:12.139	44.8s	44.2s	200.8%	2 GB	14.4 GB	522.5 MB	1.2 MB
158	df/872cb3	186576	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:MUTECT2 (S4)	COMPLETED	0	2025-12-09 00:32:23.908	49.3s	48.7s	183.2%	1.7 GB	14.4 GB	586.7 MB	1.2 MB
167	4a/976c0d	188605	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:MUTECT2 (S4)	COMPLETED	0	2025-12-09 00:32:56.930	40s	39.3s	168.6%	1.5 GB	14.2 GB	539.6 MB	1.2 MB
163	8d/13ccd9	190038	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:MUTECT2 (S4)	COMPLETED	0	2025-12-09 00:33:13.207	49.5s	49s	199.9%	1.7 GB	14.4 GB	487.8 MB	1.2 MB
146	12/9757cc	193488	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:MUTECT2 (S4)	COMPLETED	0	2025-12-09 00:34:02.723	46.8s	46.2s	180.2%	1.7 GB	14.4 GB	482.8 MB	1.2 MB
176	5c/14c7d3	195789	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:GETPILEUPSUMMARIES (S4)	COMPLETED	0	2025-12-09 00:34:49.554	9.7s	9s	327.3%	618.8 MB	14.2 GB	360.4 MB	695.1 KB
142	23/eefe34	191722	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:MUTECT2 (S4)	COMPLETED	0	2025-12-09 00:33:36.893	1m 25s	1m 24s	153.0%	2.7 GB	14.4 GB	569.9 MB	1.2 MB
177	ec/b464d0	196936	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:GETPILEUPSUMMARIES (S4)	COMPLETED	0	2025-12-09 00:34:59.275	9.6s	9.1s	293.9%	624.4 MB	14.2 GB	498.6 MB	694.7 KB
179	8c/56f9ea	197453	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:GETPILEUPSUMMARIES (S4)	COMPLETED	0	2025-12-09 00:35:01.427	8.5s	8.1s	295.3%	425.3 MB	14.1 GB	354.2 MB	694.6 KB
178	4d/ab7138	199350	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:GETPILEUPSUMMARIES (S4)	COMPLETED	0	2025-12-09 00:35:08.864	9.4s	8.9s	302.3%	689.9 MB	14.1 GB	362.9 MB	694.9 KB
183	4d/d1c3ba	201370	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:MUTECT2 (S4)	COMPLETED	0	2025-12-09 00:35:18.244	14.3s	13.8s	267.9%	1.4 GB	14.2 GB	376.5 MB	1.2 MB
175	c5/5cd27c	202833	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:GETPILEUPSUMMARIES (S4)	COMPLETED	0	2025-12-09 00:35:32.600	9s	8.5s	279.2%	857.5 MB	14.2 GB	340.1 MB	694.7 KB
180	57/636c9f	199739	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:MUTECT2 (S4)	COMPLETED	0	2025-12-09 00:35:09.975	46.7s	46.1s	216.6%	1.9 GB	14.9 GB	503.2 MB	1.2 MB
181	19/dcb829	203975	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:MUTECT2 (S4)	COMPLETED	0	2025-12-09 00:35:41.601	38.9s	38.3s	174.6%	1.2 GB	14.2 GB	625.7 MB	1.2 MB
182	58/fbf851	205270	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:MUTECT2 (S4)	COMPLETED	0	2025-12-09 00:35:56.643	46.4s	45.9s	193.6%	1.9 GB	14.4 GB	511.4 MB	1.2 MB
184	5b/3de9cf	208675	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:GATHERPILEUPSUMMARIES (S4)	COMPLETED	0	2025-12-09 00:36:43.054	7.1s	6.6s	253.5%	274.7 MB	13.7 GB	94.8 MB	696.8 KB
185	14/fff1fb	209652	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:CALCULATECONTAMINATION (S4)	COMPLETED	0	2025-12-09 00:36:50.263	7s	6.5s	271.7%	306.8 MB	13.8 GB	94.4 MB	691.7 KB
171	78/1cd4c4	207096	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:MUTECT2 (S4)	COMPLETED	0	2025-12-09 00:36:20.528	41.7s	41.2s	187.6%	2.4 GB	14.4 GB	481.1 MB	1.2 MB
186	db/bfa897	210773	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:MERGEMUTECTSTATS (S4)	COMPLETED	0	2025-12-09 00:37:02.332	6.6s	6s	246.9%	296.1 MB	14 GB	94.2 MB	692.5 KB
187	41/4b6384	211132	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:MERGE_MUTECT2 (S4)	COMPLETED	0	2025-12-09 00:37:03.353	7.6s	7s	286.0%	468.7 MB	12.1 GB	95.9 MB	732.2 KB
188	f6/1fca71	210772	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:LEARNREADORIENTATIONMODEL (S4)	COMPLETED	0	2025-12-09 00:37:02.320	19.5s	18.9s	184.6%	858.2 MB	14.5 GB	98.4 MB	4.4 MB
189	10/244f4b	213995	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:FILTERMUTECTCALLS (S4)	COMPLETED	0	2025-12-09 00:37:23.883	8.8s	8.2s	356.0%	514.4 MB	14.2 GB	184.3 MB	754 KB
193	fd/074934	215054	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:BCFTOOLS_STATS (S4)	COMPLETED	0	2025-12-09 00:37:32.738	1.5s	577ms	145.9%	2 MB	11.2 MB	184.6 KB	5 KB
190	ae/203308	215239	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_SUMMARY (S4)	COMPLETED	0	2025-12-09 00:37:34.233	1.8s	0ms	61.8%	1.1 MB	11.9 MB	113.3 KB	2.9 KB
191	8e/7a7edc	215309	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_COUNT (S4)	COMPLETED	0	2025-12-09 00:37:34.707	1.4s	1s	106.0%	2.4 MB	20.6 MB	113.3 KB	2.1 KB
192	99/972da4	215308	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_QUAL (S4)	COMPLETED	0	2025-12-09 00:37:34.692	1.4s	1s	107.4%	2.4 MB	20.6 MB	113.3 KB	2.2 KB
194	30/136bea	215762	NFCORE_SAREK:SAREK:MULTIQC	COMPLETED	0	2025-12-09 00:37:36.478	38s	36.8s	40.8%	697.5 MB	19.9 GB	99.7 MB	50.5 MB
